OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP_put,IV,VOLUME,CHNG IN OI,OI
-,-,2,33.71,"1,700.00",-15.7,"1,500","1,555.70","1,706.75","1,500","17,800.00",50,2.95,-,-,-0.6,3.4,20.44,11,7,10
-,-,-,-,-,-,"1,500","1,444.05","1,657.15","1,500","17,850.00",50,3,-,-,0.3,3.55,19.99,7,-,2
-,-,-,-,-,-,"1,750","1,344.70","1,601.70","1,500","17,900.00",100,2.95,3.45,350,-1.5,2.95,18.95,40,18,254
5,5,9,32,"1,555.00",-18.2,"1,500","1,410.70","1,552.30","1,500","17,950.00",500,3.05,4.05,450,-,5,-,-,-,26
1,1,5,27.73,"1,485.00",-41.25,"1,750","1,262.70","1,588.35","1,000","18,000.00",650,3.35,3.55,500,-0.65,3.4,18.19,"1,114",324,880
-,-,-,-,-,-,"1,500","1,250.60","1,453.35","1,500","18,050.00",500,3.45,5.1,750,-4.7,3.45,17.66,12,-1,12
1,-,-,-,"1,300.00",-,"1,500","1,225.40","1,403.30","1,500","18,100.00",50,3.6,5.1,200,-0.65,3.6,17.2,69,27,82
-,-,-,-,-,-,"1,500","1,156.90","1,355.95","1,500","18,150.00",50,3.7,7.6,50,-,15.2,-,-,-,1
1,-,-,-,"1,200.00",-,"1,500","1,040.45","1,305.55","1,500","18,200.00",50,3.8,7.45,600,-1.75,3.7,16.13,50,-4,128
2,2,3,25.37,"1,245.00",-51.8,"1,500","1,100.75","1,253.25","1,500","18,250.00",50,4.2,6.45,"1,250",-1.9,4.2,15.86,1,-,22
-,-,-,-,-,-,"1,500",982.2,"1,205.10","1,500","18,300.00",50,4.1,6.75,100,0.35,6.8,16.5,151,3,41
-,-,-,-,-,-,"1,750",961.15,"1,154.90","1,500","18,350.00",50,4.15,6.65,850,1.65,7.2,16.04,13,2,28
-,-,-,-,-,-,"1,750",914.3,"1,104.25","1,500","18,400.00",50,4.3,6.05,200,-,6,14.95,97,58,88
-,-,-,-,-,-,"1,750",867.6,"1,055.40","1,500","18,450.00",50,4.5,11,100,-1.2,7.2,14.8,21,-1,19
2,-,-,-,950.6,-,"1,500",817.8,988.45,"1,500","18,500.00",400,6.8,7.05,500,-0.4,7.15,14.15,"6,100","1,468","3,536"
-,-,-,-,-,-,"1,500",783.05,956.15,"1,500","18,550.00",50,6.4,8,300,1.1,8,13.81,349,271,273
-,-,2,21.36,909.8,-85.95,"1,500",789.95,907.85,"1,500","18,600.00",50,7.15,10,450,-0.2,8.9,13.38,"3,142",203,"1,243"
-,-,-,-,-,-,"1,550",655.9,859,"1,500","18,650.00",50,9.8,11.7,50,-0.75,9.95,13.07,197,6,62
-,-,-,-,-,-,"1,500",642,810.35,"1,500","18,700.00","3,100",11.85,12.8,50,1.2,12.95,12.99,"6,251","1,111","2,109"
-,-,-,-,-,-,"1,500",590.95,810.85,"1,500","18,750.00",50,10.25,23.95,50,-,-,-,-,-,-
5,5,7,16.37,698,-140.1,50,642.9,664.95,50,"18,800.00","1,050",17.2,17.6,50,2.2,17.95,12.4,"7,045",-139,"4,073"
1,-,1,22.57,721,56,50,591.2,678.75,"1,550","18,850.00",50,20.4,21.2,50,1.4,20.15,12.31,"10,826","-1,486","4,562"
1,-,2,12.52,581.15,39.85,400,528.55,578.7,50,"18,900.00",50,22.75,24.4,250,1.5,22.4,11.93,"12,094","1,214","5,467"
-,-,-,-,-,-,"1,500",398.1,576.05,"1,500","18,950.00",50,25.7,28,250,4.3,28.2,11.65,"3,992","1,213","2,317"
"1,603",-582,"2,527",9.73,475.4,-20.75,50,465.3,474.95,950,"19,000.00",100,31,31.9,850,4.3,31.7,11.22,"27,515",915,"9,394"
4,-,4,5.63,406.75,-52.25,"1,500",326.3,483.35,50,"19,050.00",50,36,37,150,3.35,36.15,10.96,"3,606",274,842
403,-89,740,9.53,384.1,-25.3,400,382.75,384,400,"19,100.00",250,43,43.5,50,3.45,42.45,10.73,"24,360","2,431","7,473"
97,51,109,8.64,335.35,-37.15,500,300.1,387.35,"1,500","19,150.00",250,50.7,52.15,100,3.8,50.35,10.58,"6,639",147,"2,288"
"2,801",353,"2,986",9.24,301,-27.4,50,298.2,301,800,"19,200.00",800,61.05,61.55,50,5.85,61.55,10.32,"27,737","3,599","8,961"
718,494,"3,404",9.35,264.3,-27.55,"1,050",263.85,265.4,"1,050","19,250.00",100,74,75.1,50,6.75,74.05,10.22,"9,411","1,316","2,591"
"4,467","1,148","6,801",9.21,227,-26.15,50,227.55,229.45,50,"19,300.00",100,88,89.65,50,9.25,89.25,10.16,"26,754","2,376","8,334"
731,-168,"3,787",9.12,197.6,-19.35,50,194.25,198.25,250,"19,350.00",350,105.05,106.6,200,11.1,106.6,10.07,"12,517","1,147","2,413"
"10,544","5,050","30,289",9,166,-19.5,50,164.8,166,600,"19,400.00",550,125,125.65,100,12.45,125.1,9.93,"41,511","3,817","11,051"
"2,573","1,686","10,980",8.95,138,-18.55,300,136.35,138,700,"19,450.00",250,146.2,149.65,50,13.45,146.6,9.84,"15,161","1,005","1,645"
"16,815","8,068","48,382",8.84,114.65,-14.7,150,113,114.2,300,"19,500.00",350,172.8,175,850,18,174.75,9.77,"40,992","5,413","12,979"
"1,876","1,261","11,090",8.74,92.55,-13.15,150,91,94.2,100,"19,550.00",50,199,202.75,250,25.2,207.7,9.5,"8,769","1,026","1,109"
"7,172","4,475","34,194",8.65,70.8,-13.8,200,70.8,72.5,50,"19,600.00",250,229.8,238.35,50,17.8,228.9,9.58,"16,190","1,423","3,700"
"1,944",643,"10,742",8.55,55.55,-10.95,250,54.8,56.3,100,"19,650.00",800,259.8,363.3,50,-110.2,256.15,9.27,"1,041",143,152
"9,052","1,277","28,326",8.51,43.6,-7.95,50,43,43.75,300,"19,700.00",50,298.55,303.65,50,21.6,299.75,9.69,"7,927","1,008","2,410"
"3,525","1,044","11,733",8.48,33.2,-6.6,50,31.9,33.2,250,"19,750.00",50,315.75,375.45,50,-,-,-,-,-,-
"13,026","2,336","43,159",8.63,25.7,-5.05,50,25.05,25.7,50,"19,800.00",500,378.1,385.1,50,28.9,385.1,9.78,"4,408",940,"2,202"
"1,119","1,118","4,350",8.72,19.3,-41.9,50,19.35,20,100,"19,850.00",500,421.65,529.45,500,-310.65,271.15,-,3,2,2
"3,329",616,"18,833",8.76,25,7.05,50,14.7,14.9,400,"19,900.00",500,466.95,482.7,500,-144.85,469.25,10.4,273,67,67
-,-,-,-,-,-,50,13,37.05,"3,950","19,950.00","1,500",449.1,654.1,"1,550",-,-,-,-,-,-
"6,604","2,486","24,457",9.16,9.65,-1.45,"8,400",9.6,9.8,"2,300","20,000.00",400,564.45,566.95,50,-18.25,566.55,13,188,65,73
-,-,-,-,-,-,50,6.1,35.65,"1,500","20,050.00","1,500",558.05,747.7,"1,500",-,-,-,-,-,-
138,137,276,9.75,7.25,-66.1,550,5.9,7.25,100,"20,100.00","1,500",609.85,788.3,"1,000",-122.9,499.1,-,4,1,1
-,-,-,-,-,-,50,5.1,21.45,"3,900","20,150.00","1,500",656.85,875.75,"1,750",-,-,-,-,-,-
"1,404",753,"4,079",10.27,4.75,-1.05,"1,350",4.75,4.95,"1,450","20,200.00","1,500",706.45,869.05,"1,500",-,-,-,-,-,-
167,165,342,10.71,4.5,-2.1,200,4.25,5.3,150,"20,250.00","1,500",756.2,920.6,"1,500",-,-,-,-,-,-
32,14,80,11.36,4.75,-1.55,50,3.7,4.25,400,"20,300.00","1,500",805.55,971.7,"1,500",-,-,-,-,-,-
96,38,125,12.02,5.05,-0.6,100,4.5,4.85,50,"20,350.00","1,500",856.25,"1,020.60","1,500",-,-,-,-,-,-
902,200,"1,038",12.33,5.1,1.05,800,3.3,4.9,150,"20,400.00","1,500",905.35,"1,073.45","1,500",-,-,-,-,-,-
5,3,9,12.37,3.5,-0.6,300,3.35,4.5,50,"20,450.00","1,500",955.1,"1,139.55","1,500",-,-,-,-,-,-
"1,155",268,"1,768",12.71,3.15,-0.25,"2,000",3.15,3.9,200,"20,500.00","1,500","1,004.95","1,191.00","1,500",-,-,-,-,-,-
33,8,21,13.09,3,0.15,750,2.65,3.7,550,"20,550.00","1,500","1,054.75","1,220.25","1,500",-,-,-,-,-,-
73,11,35,13.89,3.5,-0.7,400,3,3.55,400,"20,600.00","1,500","1,104.75","1,297.05","1,500",-,-,-,-,-,-
4,-,5,14.62,3.9,-0.1,600,2.3,3.55,300,"20,650.00","1,500","1,154.05","1,348.90","1,500",-,-,-,-,-,-
465,32,104,14.16,2.45,-0.05,600,2.4,3.5,600,"20,700.00","1,500","1,204.20","1,403.45","1,750",-,"1,325.00",-,-,-,1
30,-,4,15.28,3.35,0.85,600,2.2,3.25,50,"20,750.00","1,500","1,253.95","1,461.00","1,500",-,-,-,-,-,-
122,45,190,14.98,2.3,-0.3,"1,400",2.25,2.65,400,"20,800.00","1,500","1,304.05","1,510.90","1,500",-,-,-,-,-,-
19,-,-,-,-,-,650,2.15,2.95,"1,150","20,850.00","1,500","1,353.90","1,567.50","1,500",-,-,-,-,-,-
102,41,137,15.81,2.8,0.6,550,2.2,2.8,50,"20,900.00","1,500","1,404.05","1,627.30","1,500",-,-,-,-,-,-
52,10,57,16.79,2.8,-0.45,600,2.1,2.7,400,"20,950.00","1,500","1,453.85","1,605.10","1,500",-,-,-,-,-,-
580,29,260,17,2.5,-0.2,100,2.25,2.7,300,"21,000.00","1,500","1,504.05","1,666.25","1,500",-,-,-,-,-,-
7,-,3,17.37,2.4,-0.1,100,1.9,2.8,"1,750","21,050.00","1,500","1,553.65","1,709.30","1,500",-,-,-,-,-,-
316,87,201,17.62,2.2,-0.25,50,2.15,2.45,500,"21,100.00","1,500","1,603.95","1,791.40","1,500",-,-,-,-,-,-
254,123,972,18.07,2.4,0.05,"1,900",2.2,2.5,"2,350","21,150.00","1,500","1,653.95","1,843.65","1,500",-,-,-,-,-,-
